,candidate,county,votes
0,Donald J. Trump,Appling,5494
1,Hillary Clinton,Appling,1434
2,Other,Appling,77
3,Donald J. Trump,Atkinson,1878
4,Hillary Clinton,Atkinson,697
5,Other,Atkinson,35
6,Donald J. Trump,Bacon,3364
7,Hillary Clinton,Bacon,608
8,Other,Bacon,47
9,Donald J. Trump,Baker,775
10,Hillary Clinton,Baker,650
11,Other,Baker,15
12,Donald J. Trump,Baldwin,7697
13,Hillary Clinton,Baldwin,7970
14,Other,Baldwin,419
15,Donald J. Trump,Banks,6134
16,Hillary Clinton,Banks,684
17,Other,Banks,132
18,Donald J. Trump,Barrow,21108
19,Hillary Clinton,Barrow,6580
20,Other,Barrow,1143
21,Donald J. Trump,Bartow,29911
22,Hillary Clinton,Bartow,8212
23,Other,Bartow,1183
24,Donald J. Trump,Ben Hill,3739
25,Hillary Clinton,Ben Hill,2101
26,Other,Ben Hill,91
27,Donald J. Trump,Berrien,5422
28,Hillary Clinton,Berrien,1047
29,Other,Berrien,115
30,Donald J. Trump,Bibb,24043
31,Hillary Clinton,Bibb,36787
32,Other,Bibb,1447
33,Donald J. Trump,Bleckley,3719
34,Hillary Clinton,Bleckley,1101
35,Other,Bleckley,123
36,Donald J. Trump,Brantley,5567
37,Hillary Clinton,Brantley,619
38,Other,Brantley,106
39,Donald J. Trump,Brooks,3701
40,Hillary Clinton,Brooks,2528
41,Other,Brooks,89
42,Donald J. Trump,Bryan,10529
43,Hillary Clinton,Bryan,4014
44,Other,Bryan,542
45,Donald J. Trump,Bulloch,15097
46,Hillary Clinton,Bulloch,9261
47,Other,Bulloch,890
48,Donald J. Trump,Burke,4491
49,Hillary Clinton,Burke,4731
50,Other,Burke,129
51,Donald J. Trump,Butts,6717
52,Hillary Clinton,Butts,2566
53,Other,Butts,194
54,Donald J. Trump,Calhoun,830
55,Hillary Clinton,Calhoun,1179
56,Other,Calhoun,16
57,Donald J. Trump,Camden,12310
58,Hillary Clinton,Camden,5930
59,Other,Camden,629
60,Donald J. Trump,Candler,2664
61,Hillary Clinton,Candler,1026
